,open,high,low,close,volume,time,BB,A,g_buy,g_sell,pos,trade
2025-10-27,71.44,72.49,70.13,71.89999999999999,57704,1761494400000,70.69789479039478,69.28393689458689,0,0,0,
2025-10-28,71.9,74.84,70.85000000000001,72.58000000000001,62855,1761580800000,71.21841269841269,69.79404444444444,0,0,0,
2025-10-29,75.18,78.4,75.18,78.10000000000001,116703,1761667200000,72.33232804232804,77.254,1,0,0,
2025-10-30,77.48,79.98,76.0,76.36,88071,1761753600000,73.08251628001629,76.91,0,0,1,BUY
2025-10-31,76.52,78.68,75.53,75.53,56513,1761840000000,73.69263125763125,76.043,0,0,1,
2025-11-03,75.18,75.89,73.56,75.0,59088,1762099200000,73.71734330484331,74.981,0,0,1,
2025-11-04,75.03,75.26,72.75,73.5,55926,1762185600000,73.5705056980057,73.907,0,0,1,
2025-11-05,72.66,73.52000000000001,71.84,72.2,45213,1762272000000,73.36091371591371,72.388,0,1,1,
2025-11-06,72.58,73.25,70.94,72.25,42917,1762358400000,73.16451261701262,72.285,0,0,0,SELL
2025-11-07,72.11,75.96,70.8,74.53,80337,1762444800000,73.22248270248271,73.816,1,0,0,
2025-11-10,73.86,77.9,73.86,74.31,68690,1762704000000,73.43775844525845,74.534,0,0,1,BUY
2025-11-11,75.0,76.36000000000001,74.18,75.63000000000001,74064,1762790400000,73.85814611314612,75.43200000000002,0,0,1,
2025-11-12,74.88000000000001,74.88000000000001,72.7,74.67,57309,1762876800000,73.92630341880343,74.536,0,0,1,
2025-11-13,74.64,76.5,74.0,74.8,63728,1762963200000,74.05942714692715,74.85799999999999,0,0,1,
2025-11-14,74.1,77.09,72.8,74.46,69636,1763049600000,74.06148046398046,74.48499999999999,0,0,1,
2025-11-17,74.84,76.05,73.33,75.45,65604,1763308800000,74.18184167684169,75.176,0,0,1,
2025-11-18,75.36,76.67999999999999,73.83,74.35,65894,1763395200000,74.1187037037037,74.73299999999999,0,0,1,
2025-11-19,74.30000000000001,75.29,71.35000000000001,71.60000000000001,54797,1763481600000,73.71143365893366,72.48400000000001,0,1,1,
